condition,rt_reject,choice,session
3,1.07870000000003,0,1
2,0.285816666665141,0,1
6,0.913716666664641,0,1
9,NaN,1,1
6,0.671733333334942,0,1
4,NaN,1,1
2,0.753749999999854,0,1
7,NaN,1,1
5,NaN,1,1
6,0.462783333334755,0,1
5,NaN,1,1
1,NaN,1,1
9,NaN,1,1
5,NaN,1,1
1,NaN,1,1
2,0.575766666665004,0,1
2,0.972700000000259,0,1
7,NaN,1,1
6,0.511799999999766,0,1
3,0.415800000000218,0,1
7,NaN,1,1
9,0.550766666664913,0,1
5,NaN,1,1
1,NaN,1,1
3,0.465799999999945,0,1
9,NaN,1,1
1,NaN,1,1
8,3.21039999999994,0,1
9,NaN,1,1
8,NaN,1,1
8,1.57461666666495,0,1
2,0.560749999999643,0,1
4,NaN,1,1
9,NaN,1,1
1,NaN,1,1
1,NaN,1,1
2,1.30968333333476,0,1
4,NaN,1,1
7,NaN,1,1
6,0.463783333335414,0,1
4,NaN,1,1
6,0.555766666670024,0,1
6,0.462783333334755,0,1
6,0.453783333335195,0,1
5,NaN,1,1
2,0.547766666669759,0,1
5,2.27453333333506,0,1
1,NaN,1,1
9,NaN,1,1
2,0.469783333335272,0,1
8,NaN,1,1
8,NaN,1,1
4,NaN,1,1
3,0.482783333335192,0,1
6,0.454799999999977,0,1
3,0.34281666666493,0,1
7,NaN,1,1
3,0.396799999999985,0,1
7,2.69246666666504,0,1
5,NaN,1,1
5,NaN,1,1
2,0.501783333329968,0,1
3,1.03271666666524,0,1
6,0.608766666664906,0,1
4,NaN,1,1
8,NaN,1,1
3,0.466783333335115,0,1
7,NaN,1,1
1,NaN,1,1
9,1.86258333333535,0,1
3,0.784733333335225,0,1
9,NaN,1,1
4,NaN,1,1
2,0.567783333330226,0,1
6,0.496783333334861,0,1
2,0.497766666665029,0,1
7,NaN,1,1
4,2.49446666666472,0,1
7,NaN,1,1
5,NaN,1,1
5,NaN,1,1
8,NaN,1,1
5,NaN,1,1
1,NaN,1,1
9,NaN,1,1
3,0.381800000000112,0,1
7,NaN,1,1
3,0.443783333334977,0,1
8,NaN,1,1
2,0.42678333333015,0,1
1,NaN,1,1
6,0.511783333335188,0,1
7,NaN,1,1
6,0.410783333335075,0,1
7,NaN,1,1
9,NaN,1,1
8,NaN,1,1
4,NaN,1,1
2,0.71474999999964,0,1
9,NaN,1,1
4,2.74946666666983,0,1
1,NaN,1,1
5,NaN,1,1
4,NaN,1,1
5,NaN,1,1
4,NaN,1,1
1,NaN,1,1
6,0.619766666664873,0,1
7,NaN,1,1
8,NaN,1,1
6,0.438800000000356,0,1
5,NaN,1,1
6,0.586766666669973,0,1
1,NaN,1,1
7,NaN,1,1
1,NaN,1,1
3,0.487783333335301,0,1
2,0.54876666666496,0,1
9,0.711750000000393,0,1
6,0.661750000000211,0,1
8,0.135833333335086,0,1
3,0.483799999999974,0,1
1,NaN,1,1
5,NaN,1,1
6,0.60778333333019,0,1
7,NaN,1,1
5,NaN,1,1
5,NaN,1,1
3,0.442783333329771,0,1
3,0.3838166666701,0,1
2,0.777733333335163,0,1
8,3.00043333333497,0,1
2,0.656766666665135,0,1
3,0.63675000000012,0,1
8,NaN,1,1
8,NaN,1,1
1,NaN,1,1
8,NaN,1,1
2,0.543749999999818,0,1
9,NaN,1,1
5,NaN,1,1
7,NaN,1,1
4,NaN,1,1
9,NaN,1,1
1,NaN,1,1
7,NaN,1,1
2,0.450783333335039,0,1
7,NaN,1,1
2,0.606766666664953,0,1
4,NaN,1,1
6,0.553766666665069,0,1
3,0.396783333334952,0,1
5,0.039850000000115,0,1
5,2.08756666666523,0,1
9,2.40351666666993,0,1
9,NaN,1,1
8,NaN,1,1
7,NaN,1,1
7,NaN,1,1
9,0.823750000000018,0,1
3,0.450783333330037,0,1
6,0.7487500000002,0,1
4,NaN,1,1
7,NaN,1,1
2,0.565766666664786,0,1
2,0.492766666669922,0,1
4,NaN,1,1
1,0.521783333334952,0,1
6,0.499766666669984,0,1
4,NaN,1,1
6,0.536783333334824,0,1
8,2.75843333333023,0,1
4,NaN,1,1
9,NaN,1,1
2,0.41780000000017,0,1
3,0.430783333335057,0,1
9,NaN,1,1
3,0.452783333334992,0,1
8,NaN,1,1
1,NaN,1,1
9,NaN,1,1
5,NaN,1,1
4,NaN,1,1
1,0.462783333329753,0,1
6,0.900733333330209,0,1
